Agency Type,Destination,Net Sales,Commision (in value),Age,Claim
Travel Agency,MALAYSIA,10,0,29,No
Travel Agency,NEW ZEALAND,57,0,36,No
Travel Agency,UNITED KINGDOM,73,0,21,No
Travel Agency,PHILIPPINES,10,0,32,No
Travel Agency,PHILIPPINES,10,0,32,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,14,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,PHILIPPINES,10,0,34,No
Travel Agency,CAMBODIA,10,0,21,No
Travel Agency,VIET NAM,10,0,36,No
Travel Agency,IRELAND,80,0,36,No
Travel Agency,THAILAND,18,0,35,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",51,0,36,No
Travel Agency,UNITED STATES,67,0,24,No
Travel Agency,PHILIPPINES,10,0,36,No
Travel Agency,PHILIPPINES,11,0,27,No
Travel Agency,THAILAND,20,0,27,No
Travel Agency,UNITED KINGDOM,74,0,36,No
Travel Agency,JAPAN,47,0,36,No
Travel Agency,INDONESIA,12,0,36,No
Travel Agency,INDONESIA,39,0,36,No
Travel Agency,INDONESIA,39,0,36,No
Travel Agency,INDONESIA,13,0,36,No
Travel Agency,CHINA,13,0,36,No
Travel Agency,PHILIPPINES,11,0,36,No
Travel Agency,IRELAND,48,0,36,No
Travel Agency,JAPAN,39,0,36,No
Travel Agency,THAILAND,10,0,36,No
Travel Agency,AUSTRALIA,0,0,36,No
Travel Agency,CHINA,66,0,36,No
Travel Agency,INDONESIA,10,0,59,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,CHINA,51,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,ITALY,80,0,36,No
Travel Agency,UNITED STATES,80,0,33,No
Travel Agency,PHILIPPINES,33,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,MACAO,26,0,46,No
Travel Agency,CHINA,24,0,43,No
Travel Agency,CHINA,34,0,36,No
Travel Agency,VIET NAM,10,0,36,No
Travel Agency,SINGAPORE,10,0,44,No
Travel Agency,MACAO,25,0,38,No
Travel Agency,FRANCE,37,0,36,No
Travel Agency,HONG KONG,15,0,36,No
Travel Agency,CANADA,72,0,30,No
Travel Agency,UNITED STATES,80,0,24,No
Travel Agency,INDONESIA,11,0,43,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,SINGAPORE,63,0,36,No
Travel Agency,CHINA,21,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,SINGAPORE,20,0,34,No
Travel Agency,CAMBODIA,20,0,36,No
Travel Agency,JAPAN,23,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,CHINA,20,0,48,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",20,0,65,No
Travel Agency,SINGAPORE,20,0,28,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",38,0,36,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,BRUNEI DARUSSALAM,15,6,66,No
Airlines,BRUNEI DARUSSALAM,15,6,58,No
Airlines,BRUNEI DARUSSALAM,15,6,45,No
Airlines,SINGAPORE,0.51,0.14,48,No
Airlines,SINGAPORE,1.13,0.32,48,No
Airlines,SINGAPORE,14.35,4.02,48,No
Airlines,JAPAN,35,12.25,39,No
Airlines,CHINA,26,9.1,50,No
Airlines,INDONESIA,37,12.95,34,No
Airlines,"KOREA, REPUBLIC OF",69,24.15,24,No
Airlines,"KOREA, REPUBLIC OF",97,33.95,24,No
Airlines,"KOREA, REPUBLIC OF",97,33.95,24,No
Airlines,INDONESIA,22,7.7,40,No
Airlines,CHINA,26,9.1,46,No
Airlines,PHILIPPINES,37,12.95,43,No
Airlines,THAILAND,22,7.7,40,No
Airlines,HONG KONG,22,7.7,36,No
Airlines,"TAIWAN, PROVINCE OF CHINA",22,7.7,43,No
Airlines,CHINA,26,9.1,37,No
Airlines,VIET NAM,22,7.7,39,No
Airlines,THAILAND,22,7.7,35,No
Airlines,THAILAND,22,7.7,52,No
Airlines,PHILIPPINES,30,10.5,38,No
Airlines,CHINA,26,9.1,64,No
Airlines,HONG KONG,26,9.1,49,No
Airlines,CHINA,26,9.1,36,No
Airlines,INDONESIA,18,6.3,57,No
Airlines,MYANMAR,22,7.7,51,No
Airlines,"TAIWAN, PROVINCE OF CHINA",26,9.1,39,No
Airlines,CHINA,26,9.1,29,No
Airlines,HONG KONG,35,12.25,55,No
Airlines,VIET NAM,18,6.3,47,No
Airlines,INDONESIA,22,7.7,52,No
Airlines,THAILAND,58,20.3,53,No
Airlines,THAILAND,18,6.3,55,No
Airlines,INDONESIA,18,6.3,41,No
Airlines,THAILAND,18,6.3,47,No
Airlines,MYANMAR,22,7.7,42,No
Travel Agency,MALAYSIA,29,9.57,77,No
Airlines,SINGAPORE,20.25,5.06,27,No
Airlines,SINGAPORE,48.3,12.07,22,No
Airlines,SINGAPORE,20.25,5.06,30,No
Airlines,SINGAPORE,27,6.75,45,No
Airlines,SINGAPORE,22.5,5.63,27,No
Airlines,SINGAPORE,36.75,9.19,44,No
Airlines,SINGAPORE,27.75,6.94,25,No
Airlines,SINGAPORE,40.5,10.13,31,No
Airlines,SINGAPORE,136.5,34.13,39,No
Airlines,SINGAPORE,291.75,72.94,49,No
Travel Agency,AUSTRALIA,59.4,35.64,37,No
Travel Agency,THAILAND,29.7,17.82,31,No
Travel Agency,AUSTRALIA,89.1,53.46,57,No
Travel Agency,JAPAN,128.7,77.22,51,No
Travel Agency,UNITED KINGDOM,138.6,83.16,38,No
Travel Agency,ISRAEL,128.7,77.22,31,No
Travel Agency,UNITED STATES,0,17.82,44,No
Travel Agency,AUSTRALIA,69.3,41.58,60,No
Travel Agency,AUSTRALIA,39.6,23.76,56,No
Travel Agency,AUSTRALIA,19.8,11.88,60,No
Travel Agency,SPAIN,79.2,47.52,37,No
Travel Agency,SWITZERLAND,9.9,5.94,57,No
Travel Agency,UNITED KINGDOM,19.8,11.88,31,No
Travel Agency,PHILIPPINES,29.7,17.82,31,No
Travel Agency,AUSTRALIA,69.3,41.58,47,No
Travel Agency,UNITED STATES,9.9,5.94,51,No
Travel Agency,AUSTRALIA,9.9,5.94,33,No
Travel Agency,AUSTRALIA,79.2,47.52,35,No
Travel Agency,MALAYSIA,0,41.58,53,No
Travel Agency,AUSTRALIA,69.3,41.58,30,No
Travel Agency,UNITED STATES,39.6,23.76,35,No
Travel Agency,UNITED STATES,39.6,23.76,35,No
Travel Agency,AUSTRALIA,0,23.76,36,No
Travel Agency,SINGAPORE,0,11.88,31,No
Travel Agency,"KOREA, REPUBLIC OF",0,41.58,43,No
Travel Agency,UNITED STATES,79.2,47.52,29,No
Travel Agency,NEW ZEALAND,128.7,77.22,31,No
Travel Agency,MALAYSIA,39.6,23.76,31,No
Travel Agency,AUSTRALIA,89.1,53.46,66,No
Travel Agency,PHILIPPINES,26,0,36,No
Travel Agency,MALAYSIA,20,0,26,No
Travel Agency,"KOREA, REPUBLIC OF",112,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,UNITED STATES,112,0,35,No
Travel Agency,NEW ZEALAND,82,0,36,No
Travel Agency,CHINA,36,0,36,No
Travel Agency,THAILAND,20,0,37,No
Travel Agency,THAILAND,38,0,36,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,THAILAND,40,0,36,No
Travel Agency,UNITED STATES,95,0,45,No
Travel Agency,"KOREA, REPUBLIC OF",112,0,36,No
Travel Agency,THAILAND,33,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",36,0,36,No
Travel Agency,MALAYSIA,20,0,69,No
Travel Agency,CANADA,112,0,40,No
Travel Agency,INDONESIA,26,0,36,No
Travel Agency,CHINA,38,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,MALAYSIA,20,0,28,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",34,0,36,No
Travel Agency,THAILAND,61,0,37,No
Travel Agency,CHINA,37,0,36,No
Travel Agency,MALAYSIA,37,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,HONG KONG,21,0,36,No
Travel Agency,INDONESIA,33,0,35,No
Travel Agency,MALAYSIA,20,0,56,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,BRUNEI DARUSSALAM,62,0,36,No
Travel Agency,MALAYSIA,20,0,49,No
Travel Agency,MALAYSIA,20,0,61,No
Travel Agency,"KOREA, REPUBLIC OF",112,0,36,No
Travel Agency,CHINA,46,0,36,No
Travel Agency,HONG KONG,28,0,36,No
Travel Agency,CHINA,38,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",112,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,UNITED STATES,112,0,47,No
Travel Agency,MALAYSIA,47,0,36,No
Travel Agency,JAPAN,70,0,36,No
Travel Agency,VIET NAM,34,0,36,No
Travel Agency,JAPAN,46,0,36,No
Travel Agency,INDIA,27,0,23,No
Travel Agency,INDIA,26,0,39,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,MYANMAR,12,0,36,No
Travel Agency,GERMANY,59,0,36,No
Travel Agency,SINGAPORE,21,0,36,No
Travel Agency,CHINA,10,0,36,No
Travel Agency,SINGAPORE,21,0,36,No
Travel Agency,CHINA,11,0,36,No
Travel Agency,HONG KONG,22,0,56,No
Travel Agency,"KOREA, REPUBLIC OF",80,0,36,No
Travel Agency,THAILAND,13,0,45,No
Travel Agency,MALAYSIA,14,0,36,No
Travel Agency,MALAYSIA,16,0,36,No
Travel Agency,JAPAN,23,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,GERMANY,10,0,36,No
Travel Agency,CAMBODIA,19,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",10,0,25,No
Travel Agency,INDIA,28,0,36,No
Travel Agency,UNITED STATES,64,0,39,No
Travel Agency,SINGAPORE,10,0,53,No
Travel Agency,MALAYSIA,10,0,31,No
Travel Agency,THAILAND,28,0,30,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,PHILIPPINES,19,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,INDIA,14,0,36,No
Travel Agency,UNITED KINGDOM,55,0,36,No
Travel Agency,UNITED STATES,15,0,47,No
Travel Agency,THAILAND,12,0,59,No
Travel Agency,INDONESIA,15,0,28,No
Travel Agency,SINGAPORE,51,0,36,No
Travel Agency,PHILIPPINES,10,0,58,No
Travel Agency,JAPAN,31,0,67,No
Travel Agency,INDONESIA,17,0,36,No
Travel Agency,MALAYSIA,80,0,36,No
Travel Agency,PHILIPPINES,37,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",33,0,36,No
Travel Agency,MALAYSIA,10,0,41,No
Travel Agency,UNITED STATES,80,0,58,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,CHINA,36,0,36,No
Travel Agency,MALAYSIA,13,0,31,No
Travel Agency,THAILAND,14,0,54,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,MALAYSIA,27,0,42,No
Travel Agency,AUSTRALIA,18,0,36,No
Travel Agency,MALAYSIA,10,0,31,No
Travel Agency,THAILAND,34,0,54,No
Travel Agency,SINGAPORE,24,0,34,No
Travel Agency,MALAYSIA,10,0,32,No
Travel Agency,INDONESIA,10,0,49,No
Travel Agency,INDIA,20,0,48,No
Travel Agency,JAPAN,71,0,34,No
Travel Agency,"KOREA, REPUBLIC OF",43,0,36,No
Travel Agency,FRANCE,48,0,36,No
Travel Agency,JAPAN,37,0,36,No
Travel Agency,AUSTRALIA,20,0,36,No
Travel Agency,INDIA,20,0,36,No
Travel Agency,INDIA,20,0,36,No
Travel Agency,UNITED ARAB EMIRATES,30,0,36,No
Travel Agency,UNITED STATES,112,0,45,No
Travel Agency,SINGAPORE,77,0,45,No
Travel Agency,SINGAPORE,30,0,36,No
Travel Agency,CHINA,29,0,36,No
Travel Agency,CHINA,50,0,36,No
Travel Agency,NEW ZEALAND,20,0,23,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,31,12.4,118,No
Travel Agency,INDONESIA,38,14.44,48,No
Travel Agency,UNITED KINGDOM,111,42.18,48,No
Airlines,BRUNEI DARUSSALAM,15,6,74,No
Airlines,BRUNEI DARUSSALAM,15,6,33,No
Airlines,BRUNEI DARUSSALAM,15,6,36,No
Airlines,BRUNEI DARUSSALAM,15,6,52,No
Airlines,BRUNEI DARUSSALAM,15,6,30,No
Airlines,BRUNEI DARUSSALAM,15,6,28,No
Airlines,SINGAPORE,9.77,2.74,48,No
Airlines,HONG KONG,26,9.1,41,No
Airlines,CHINA,35,12.25,45,No
Airlines,THAILAND,18,6.3,35,No
Airlines,HONG KONG,26,9.1,52,No
Airlines,CHINA,22,7.7,49,No
Airlines,HONG KONG,26,9.1,44,No
Airlines,HONG KONG,26,9.1,57,No
Airlines,MALAYSIA,18,6.3,42,No
Airlines,PHILIPPINES,30,10.5,34,No
Airlines,PHILIPPINES,22,7.7,43,No
Airlines,CHINA,22,7.7,38,No
Airlines,CHINA,22,7.7,44,No
Airlines,THAILAND,22,7.7,62,No
Airlines,THAILAND,18,6.3,41,No
Airlines,INDONESIA,30,10.5,35,No
Airlines,HONG KONG,26,9.1,58,No
Airlines,MYANMAR,18,6.3,58,No
Airlines,AUSTRALIA,26,9.1,43,No
Airlines,CHINA,22,7.7,37,No
Airlines,MALAYSIA,18,6.3,50,No
Airlines,INDONESIA,18,6.3,42,No
Airlines,NEPAL,0,17.15,47,No
Airlines,INDONESIA,18,6.3,46,No
Airlines,MYANMAR,58,20.3,48,No
Airlines,THAILAND,39,13.65,51,No
Travel Agency,MALAYSIA,29,9.57,67,No
Travel Agency,THAILAND,29,9.57,68,No
Travel Agency,FRANCE,86,32.68,22,No
Airlines,HONG KONG,69.71,24.4,48,No
Airlines,SINGAPORE,25.5,6.38,36,Yes
Airlines,SINGAPORE,20.25,5.06,26,No
Airlines,SINGAPORE,20.25,5.06,49,No
Airlines,SINGAPORE,20.25,5.06,26,No
Airlines,SINGAPORE,27.75,6.94,46,No
Airlines,SINGAPORE,62.25,15.56,35,No
Airlines,SINGAPORE,95.25,23.81,37,No
Airlines,SINGAPORE,291.75,72.94,29,Yes
Airlines,SINGAPORE,291.75,72.94,47,No
Airlines,SINGAPORE,291.75,72.94,51,No
Airlines,SINGAPORE,291.75,72.94,28,No
Airlines,SINGAPORE,0,112.31,51,No
Airlines,SINGAPORE,449.25,112.31,55,No
Travel Agency,"KOREA, REPUBLIC OF",39.6,23.76,56,No
Travel Agency,MALAYSIA,0,5.94,70,No
Travel Agency,AUSTRALIA,69.3,41.58,52,No
Travel Agency,AUSTRALIA,39.6,23.76,31,No
Travel Agency,NORWAY,108.9,65.34,31,No
Travel Agency,AUSTRALIA,9.9,5.94,31,No
Travel Agency,NORWAY,0,5.94,31,No
Travel Agency,MALAYSIA,0,5.94,27,No
Travel Agency,NORWAY,9.9,5.94,31,No
Travel Agency,AUSTRALIA,49.5,29.7,36,No
Travel Agency,AUSTRALIA,59.4,35.64,31,No
Travel Agency,AUSTRALIA,49.5,29.7,28,No
Travel Agency,CHINA,40,0,36,No
Travel Agency,MALAYSIA,22,0,47,No
Travel Agency,INDONESIA,28,0,36,No
Travel Agency,INDIA,23,0,30,No
Travel Agency,THAILAND,24,0,36,Yes
Travel Agency,GERMANY,70,0,36,No
Travel Agency,INDONESIA,24,0,31,No
Travel Agency,THAILAND,23,0,36,No
Travel Agency,UNITED STATES,112,0,42,No
Travel Agency,MALAYSIA,31,0,52,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,INDONESIA,23,0,36,No
Travel Agency,CHINA,40,0,36,No
Travel Agency,CHINA,31,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,CHINA,54,0,36,No
Travel Agency,MYANMAR,20,0,36,No
Travel Agency,HONG KONG,20,0,49,No
Travel Agency,HONG KONG,20,0,47,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,MALAYSIA,20,0,38,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,JAPAN,30,0,36,No
Travel Agency,KENYA,25,0,36,No
Travel Agency,AUSTRALIA,0,0,36,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,AUSTRALIA,43,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,MALAYSIA,20,0,55,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,THAILAND,93,0,36,No
Travel Agency,HONG KONG,24,0,36,No
Travel Agency,THAILAND,20,0,45,No
Travel Agency,AUSTRALIA,44,0,36,No
Travel Agency,CHINA,30,0,36,No
Travel Agency,CHINA,20,0,36,No
Travel Agency,HONG KONG,20,0,36,No
Travel Agency,MALAYSIA,20,0,61,No
Travel Agency,"KOREA, REPUBLIC OF",28,0,29,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,THAILAND,26,0,36,No
Travel Agency,CHINA,42,0,36,No
Travel Agency,INDONESIA,20,0,61,No
Travel Agency,PHILIPPINES,20,0,37,No
Travel Agency,PHILIPPINES,41,0,36,No
Travel Agency,THAILAND,39,0,36,No
Travel Agency,MALAYSIA,21,0,36,No
Travel Agency,AUSTRALIA,47,0,36,No
Travel Agency,VIET NAM,17,0,36,No
Travel Agency,CHINA,24,0,36,No
Travel Agency,PHILIPPINES,11,0,36,No
Travel Agency,CAMBODIA,80,0,36,No
Travel Agency,HONG KONG,17,0,36,No
Travel Agency,THAILAND,10,0,54,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,HONG KONG,35,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,UNITED STATES,24,0,44,No
Travel Agency,JAPAN,38,0,36,No
Travel Agency,HONG KONG,17,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",67,0,36,No
Travel Agency,MALAYSIA,11,0,27,No
Travel Agency,PHILIPPINES,19,0,36,No
Travel Agency,HONG KONG,22,0,36,No
Travel Agency,MALAYSIA,10,0,52,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",24,0,36,No
Travel Agency,SINGAPORE,10,0,28,No
Travel Agency,PHILIPPINES,21,0,36,No
Travel Agency,CROATIA,80,0,36,No
Travel Agency,UNITED STATES,23,0,31,No
Travel Agency,"KOREA, REPUBLIC OF",44,0,36,No
Travel Agency,SRI LANKA,31,0,34,No
Travel Agency,UNITED STATES,13,0,43,No
Travel Agency,AUSTRALIA,22,0,36,No
Travel Agency,AUSTRALIA,27,0,36,No
Travel Agency,SINGAPORE,54,0,36,No
Travel Agency,CHINA,25,0,36,No
Travel Agency,PHILIPPINES,26,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,10,0,36,No
Travel Agency,JAPAN,41,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",71,0,36,No
Travel Agency,THAILAND,15,0,36,No
Travel Agency,AUSTRIA,26,0,36,No
Travel Agency,UNITED STATES,128,0,28,No
Travel Agency,INDONESIA,10,0,29,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,HONG KONG,13,0,28,No
Travel Agency,MYANMAR,15,0,36,No
Travel Agency,INDONESIA,13,0,36,No
Travel Agency,INDONESIA,11,0,36,No
Travel Agency,HONG KONG,14,0,36,No
Travel Agency,SINGAPORE,51,0,39,No
Travel Agency,THAILAND,17,0,28,No
Travel Agency,BRAZIL,80,0,36,No
Travel Agency,JAPAN,47,0,36,No
Travel Agency,CHINA,30,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",39,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,THAILAND,10,0,36,No
Travel Agency,INDONESIA,10,0,35,No
Travel Agency,UNITED KINGDOM,80,0,60,No
Travel Agency,PHILIPPINES,10,0,36,No
Travel Agency,SPAIN,80,0,36,No
Travel Agency,INDONESIA,33,0,32,No
Travel Agency,CHINA,25,0,36,No
Travel Agency,SINGAPORE,32,0,36,No
Travel Agency,UNITED STATES,10,0,37,No
Travel Agency,MALAYSIA,10,0,21,No
Travel Agency,CHINA,10,0,23,No
Travel Agency,VIET NAM,17,0,36,No
Travel Agency,UNITED KINGDOM,80,0,54,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,INDONESIA,16,0,36,No
Travel Agency,INDIA,10,0,36,No
Travel Agency,NETHERLANDS,10,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",66,0,24,No
Travel Agency,"KOREA, REPUBLIC OF",0,0,36,No
Travel Agency,SPAIN,10,0,36,No
Travel Agency,UNITED KINGDOM,37,0,36,No
Travel Agency,CAMBODIA,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,SINGAPORE,20,0,32,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,NETHERLANDS,20,0,36,No
Travel Agency,CAMBODIA,20,0,36,No
Travel Agency,SINGAPORE,20,0,24,No
Travel Agency,MALAYSIA,20,0,52,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",21,0,35,No
Travel Agency,INDONESIA,20,0,36,No
Airlines,INDIA,60,24,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,78,31.2,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,BRUNEI DARUSSALAM,15,6,35,No
Airlines,SINGAPORE,0.32,0.09,48,No
Airlines,SINGAPORE,0.81,0.23,48,No
Airlines,SINGAPORE,9.77,2.74,48,No
Airlines,VIET NAM,30,10.5,34,No
Airlines,CHINA,69,24.15,59,No
Airlines,PHILIPPINES,18,6.3,43,No
Airlines,THAILAND,22,7.7,41,No
Airlines,MALAYSIA,18,6.3,33,No
Airlines,AUSTRALIA,35,12.25,44,No
Airlines,MALAYSIA,18,6.3,31,No
Airlines,HONG KONG,26,9.1,50,No
Airlines,HONG KONG,26,9.1,34,No
Airlines,INDONESIA,18,6.3,64,No
Airlines,HONG KONG,26,9.1,31,No
Airlines,THAILAND,22,7.7,36,No
Airlines,HONG KONG,35,12.25,33,No
Airlines,PHILIPPINES,42,14.7,49,No
Airlines,THAILAND,18,6.3,34,No
Airlines,CHINA,35,12.25,44,No
Airlines,VIET NAM,22,7.7,63,No
Airlines,MALAYSIA,22,7.7,62,No
Airlines,"KOREA, REPUBLIC OF",26,9.1,45,No
Airlines,MALAYSIA,18,6.3,54,No
Airlines,THAILAND,22,7.7,55,No
Airlines,HONG KONG,22,7.7,67,No
Airlines,INDIA,22,7.7,27,No
Airlines,PHILIPPINES,18,6.3,44,No
Airlines,AUSTRALIA,26,9.1,32,No
Airlines,HONG KONG,35,12.25,71,No
Airlines,PHILIPPINES,52,18.2,36,No
Airlines,HONG KONG,26,9.1,26,No
Airlines,VIET NAM,18,6.3,65,No
Airlines,CHINA,44,15.4,33,No
Airlines,THAILAND,18,6.3,36,No
Airlines,INDONESIA,58,20.3,44,No
Airlines,CHINA,22,7.7,42,No
Airlines,MALAYSIA,18,6.3,51,No
Airlines,"KOREA, REPUBLIC OF",35,12.25,23,No
Airlines,CHINA,22,7.7,35,No
Airlines,UNITED KINGDOM,109,38.15,51,No
Airlines,SPAIN,87,30.45,31,No
Airlines,JAPAN,83,29.05,50,No
Travel Agency,MALAYSIA,29,9.57,118,No
Travel Agency,THAILAND,29,9.57,64,No
Airlines,SINGAPORE,44.25,11.06,35,No
Airlines,SINGAPORE,25.5,6.38,56,No
Airlines,SINGAPORE,81.75,20.44,31,No
Airlines,SINGAPORE,108,27,53,No
Airlines,SINGAPORE,73,18.25,28,No
Airlines,SINGAPORE,216.75,54.19,25,No
Airlines,SINGAPORE,291.75,72.94,53,Yes
Travel Agency,AUSTRALIA,89.1,53.46,30,No
Travel Agency,AUSTRALIA,29.7,17.82,47,No
Travel Agency,NEW ZEALAND,59.4,35.64,54,No
Travel Agency,NETHERLANDS,39.6,23.76,41,No
Travel Agency,AUSTRALIA,29.7,17.82,31,No
Travel Agency,MALAYSIA,29.7,17.82,30,No
Travel Agency,THAILAND,39.6,23.76,31,No
Travel Agency,MALAYSIA,0,5.94,43,No
Travel Agency,UNITED STATES,0,17.82,53,No
Travel Agency,CANADA,19.8,11.88,41,No
Travel Agency,THAILAND,29.7,17.82,43,No
Travel Agency,UNITED KINGDOM,99,59.4,56,No
Travel Agency,AUSTRALIA,89.1,53.46,38,No
Travel Agency,AUSTRALIA,79.2,47.52,34,No
Travel Agency,FRANCE,99,59.4,26,No
Travel Agency,AUSTRALIA,89.1,53.46,43,No
Travel Agency,THAILAND,0,11.88,28,No
Travel Agency,SWEDEN,103,0,36,No
Travel Agency,INDONESIA,44,0,36,No
Travel Agency,INDONESIA,20,0,64,No
Travel Agency,INDONESIA,20,0,46,No
Travel Agency,"KOREA, REPUBLIC OF",69,0,36,No
Travel Agency,UNITED STATES,81,0,64,No
Travel Agency,MALAYSIA,20,0,25,No
Travel Agency,CHINA,28,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,VIET NAM,21,0,36,No
Travel Agency,MALAYSIA,20,0,39,No
Travel Agency,THAILAND,33,0,36,No
Travel Agency,UNITED STATES,69,0,35,No
Travel Agency,HONG KONG,27,0,36,No
Travel Agency,AUSTRALIA,110,0,36,No
Travel Agency,VIET NAM,21,0,44,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,MYANMAR,20,0,36,No
Travel Agency,AUSTRALIA,28,0,36,No
Travel Agency,VIET NAM,20,0,37,No
Travel Agency,CANADA,112,0,67,No
Travel Agency,SINGAPORE,28,0,36,No
Travel Agency,MALAYSIA,26,0,36,No
Travel Agency,SRI LANKA,39,0,36,No
Travel Agency,CANADA,112,0,32,No
Travel Agency,UNITED KINGDOM,112,0,23,No
Travel Agency,PHILIPPINES,39,0,36,No
Travel Agency,THAILAND,42,0,29,No
Travel Agency,MALAYSIA,22,0,36,No
Travel Agency,CANADA,83,0,25,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,JAPAN,29,0,36,No
Travel Agency,BRUNEI DARUSSALAM,34,0,36,No
Travel Agency,INDONESIA,20,0,32,No
Travel Agency,UNITED KINGDOM,111,0,36,No
Travel Agency,THAILAND,25,0,36,No
Travel Agency,CHINA,97,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,AUSTRALIA,112,0,36,No
Travel Agency,INDONESIA,20,0,44,No
Travel Agency,PORTUGAL,67,0,36,No
Travel Agency,CHINA,38,0,36,No
Travel Agency,SPAIN,68,0,36,No
Travel Agency,CHINA,24,0,36,No
Travel Agency,MALAYSIA,10,0,24,No
Travel Agency,UNITED STATES,64,0,54,No
Travel Agency,UNITED STATES,65,0,55,No
Travel Agency,NETHERLANDS,80,0,36,No
Travel Agency,THAILAND,10,0,23,No
Travel Agency,NEW ZEALAND,37,0,38,No
Travel Agency,UNITED KINGDOM,11,0,36,No
Travel Agency,MALAYSIA,19,0,36,No
Travel Agency,INDONESIA,10,0,59,No
Travel Agency,THAILAND,11,0,31,No
Travel Agency,THAILAND,13,0,25,No
